						
						
Patagopipa_corsolinii	(47.51:47.41)					
Cratopipa_novaolindensis	(113:109)					
Vulcanobatrachus_mandelai	(70.22:69.78)	(70.22:69.78)	(70.22:69.78)	(70.22:69.78)	(70.22:69.78)	
Oumtkoutia_anae	(96:95)	(96:95)	(96:95)	(96:95)		
Avitabatrachus_uliana	(100.5:93.9)	(100.5:93.9)	(100.5:93.9)			
Thoraciliacus_rostriceps	(116.4:106.2)	(116.4:106.2)	(116.4:106.2)	(116.4:106.2)	(116.4:106.2)	(116.4:106.2)
Nevobatrachus_gracilis	(116.4:106.2)	(116.4:106.2)	(116.4:106.2)	(116.4:106.2)	(116.4:106.2)	(116.4:106.2)
Singidella_latecostata	(45.8:43.6)	(45.8:43.6)				
Shelania_pascuali	(51:43)	(51:43)	(51:43)	(51:43)		
Shelania_laurenti	(59.2:56)					
Saltenia_ibanezi 	(78:76)	(78:76)	 (82:72)	 (82:72)	 (82:72)	
Llankibatrachus_truebae 	(54.69:53.79)	(54.69:53.79)	(41.3:28.1)			
Eoxenopoides_reuningi	(83.6:72.1)	(83.6:72.1)	(83.6:72.1)	(83.6:72.1)	(83.6:72.1)	
Xenopus_arabiensis	(30:29.5)					
Kuruleufenia_xenopoides	(77:71)	(77:71)	(77:71)	(77:71)		
Pachycentrata_taqueti	(89.9:83.6) 	(89.9:83.6) 	(89.9:83.6) 	(89.9:83.6) 	(89.9:83.6) 	(89.9:83.6) 
Xenopus_romeri	(59.2:47.8)					
Inbecetenanura_ragei	(89.9:83.6)	(89.9:83.6)	(89.9:83.6)	(89.9:83.6)	(89.9:83.6)	(89.9:83.6)
Silurana_tropicalis	S23.02					
Xenopus	S23.02					
Pipa	S23.02					
Hymenochirus_boettgeri	S23.02					
Pseudhymenochirus_merlini	S23.02					
